,Lp,code,url,title,rooms,price,price_m2,area,district
27,30,44ruK,https://www.otodom.pl/oferta/3-pokoje-na-bielanach-blisko-do-metra-do-arkadii-ID44ruK.html#65ef490b31,"3 pokoje na Bielanach, blisko do metra, do Arkadii",3,540000.0,9474.0,57.0,BIELANY
28,31,44ruJ,https://www.otodom.pl/oferta/okazja-3-pokoje-na-bielanach-ID44ruJ.html#65ef490b31,Okazja! 3 Pokoje Na Bielanach!,3,520000.0,8966.0,58.0,BIELANY
29,32,44ruI,https://www.otodom.pl/oferta/3-pokoje-na-bielanach-dobry-standard-ID44ruI.html#65ef490b31,3 pokoje na Bielanach! Dobry Standard!,3,860000.0,11006.0,78.14,BIELANY
30,33,44ruH,https://www.otodom.pl/oferta/dwupokojowe-mieszkanie-w-bardzo-dobrym-stanie-na-b-ID44ruH.html#65ef490b31,Dwupokojowe mieszkanie W Bardzo Dobrym Stanie na B,2,570000.0,9828.0,58.0,BIELANY
31,34,44ruG,https://www.otodom.pl/oferta/2-pokoje-z-ogrodkiem-w-apartamencie-na-bielanach-ID44ruG.html#65ef490b31,2 pokoje z ogródkiem w apartamencie na Bielanach!,2,660000.0,16296.0,40.5,BIELANY
32,35,44ruE,https://www.otodom.pl/oferta/4-pokoje-na-bielanach-mieszkanie-dwupoziomowe-ID44ruE.html#65ef490b31,4 pokoje na Bielanach! Mieszkanie dwupoziomowe!,4,795000.0,9521.0,83.5,BIELANY
33,36,44ruD,https://www.otodom.pl/oferta/kawalerka-na-sadybie-do-remontu-ID44ruD.html#65ef490b31,Kawalerka na Sadybie do remontu.,1,320000.0,11852.0,27.0,MOKOTÓW
34,37,44ruA,https://www.otodom.pl/oferta/3-pokoje-ogrod-36m2-wysoki-standard-ID44ruA.html#65ef490b31,3 pokoje + ogród (36m2)-wysoki standard!,3,667000.0,10262.0,65.0,URSUS
35,38,44ruz,https://www.otodom.pl/oferta/2-pokoje-niedaleko-wum-ID44ruz.html#65ef490b31,2 pokoje niedaleko Wum.,2,545000.0,11354.0,48.0,OCHOTA
36,39,44ruy,https://www.otodom.pl/oferta/2-pokoje-na-zaciszu-osiedle-monitorowane-ID44ruy.html#65ef490b31,"2 pokoje na Zaciszu, osiedle monitorowane.",2,495000.0,8839.0,56.0,TARGÓWEK
37,40,44rux,https://www.otodom.pl/oferta/2-pokoje-na-zoliborzu-z-ogrodkiem-ID44rux.html#65ef490b31,2 pokoje na Żoliborzu z ogródkiem!,2,730000.0,15870.0,46.0,ŻOLIBORZ
38,41,44ruv,https://www.otodom.pl/oferta/idealne-pod-inwestycje-3-nieprzechodnie-pokoje-na-ID44ruv.html#65ef490b31,Idealne Pod Inwestycję! 3 nieprzechodnie pokoje na,3,950000.0,12667.0,75.0,ŻOLIBORZ
39,42,44ruw,https://www.otodom.pl/oferta/3-pokoje-na-zoliborzu-bardzo-dobry-standard-wykon-ID44ruw.html#65ef490b31,3 pokoje na Żoliborzu! Bardzo Dobry Standard Wykoń,3,840000.0,13548.0,62.0,ŻOLIBORZ
40,43,44ruu,https://www.otodom.pl/oferta/2-pokoje-na-artystycznym-zoliborzu-ID44ruu.html#65ef490b31,2 pokoje na Artystycznym Żoliborzu!,2,600000.0,14634.0,41.0,ŻOLIBORZ
